time_ns,din_low,din_high,dout_merged
2496,     0, -9510,  -201
2506,     0, -5877,  -324
2516,     0,     0,  -324
2526,     0,  5877,  -201
2536,     0,  9510,     0
2546,     0,  9510,   200
2556,     0,  5877,   323
2566,     0,     0,   323
2576,     0, -5877,   200
2586,     0, -9510,     0
2596,     0, -9510,  -201
2606,     0, -5877,  -324
2616,     0,     0,  -324
2626,     0,  5877,  -201
2636,     0,  9510,     0
2646,     0,  9510,   200
2656,     0,  5877,   323
2666,     0,     0,   323
2676,     0, -5877,   200
2686,     0, -9510,     0
2696,     0, -9510,  -201
2706,     0, -5877,  -324
2716,     0,     0,  -324
2726,     0,  5877,  -201
2736,     0,  9510,     0
2746,     0,  9510,   200
2756,     0,  5877,   323
2766,     0,     0,   323
2776,     0, -5877,   200
2786,     0, -9510,     0
2796,     0, -9510,  -201
2806,     0, -5877,  -324
2816,     0,     0,  -324
2826,     0,  5877,  -201
2836,     0,  9510,     0
2846,     0,  9510,   200
2856,     0,  5877,   323
2866,     0,     0,   323
2876,     0, -5877,   200
2886,     0, -9510,     0
2896,     0, -9510,  -201
2906,     0, -5877,  -324
2916,     0,     0,  -324
2926,     0,  5877,  -201
2936,     0,  9510,     0
2946,     0,  9510,   200
2956,     0,  5877,   323
2966,     0,     0,   323
2976,     0, -5877,   200
2986,     0, -9510,     0
2996,     0, -9510,  -201
3006,     0, -5877,  -324
3016,     0,     0,  -324
3026,     0,  5877,  -201
3036,     0,  9510,     0
3046,     0,  9510,   200
3056,     0,  5877,   323
3066,     0,     0,   323
3076,     0, -5877,   200
3086,     0, -9510,     0
3096,     0, -9510,  -201
3106,     0, -5877,  -324
3116,     0,     0,  -324
3126,     0,  5877,  -201
3136,     0,  9510,     0
3146,     0,  9510,   200
3156,     0,  5877,   323
3166,     0,     0,   323
3176,     0, -5877,   200
3186,     0, -9510,     0
3196,     0, -9510,  -201
3206,     0, -5877,  -324
3216,     0,     0,  -324
3226,     0,  5877,  -201
3236,     0,  9510,     0
3246,     0,  9510,   200
3256,     0,  5877,   323
3266,     0,     0,   323
3276,     0, -5877,   200
3286,     0, -9510,     0
3296,     0, -9510,  -201
3306,     0, -5877,  -324
3316,     0,     0,  -324
3326,     0,  5877,  -201
3336,     0,  9510,     0
3346,     0,  9510,   200
3356,     0,  5877,   323
3366,     0,     0,   323
3376,     0, -5877,   200
3386,     0, -9510,     0
3396,     0, -9510,  -201
3406,     0, -5877,  -324
3416,     0,     0,  -324
3426,     0,  5877,  -201
3436,     0,  9510,     0
3446,     0,  9510,   200
3456,     0,  5877,   323
3466,     0,     0,   323
3476,     0, -5877,   200
3486,     0, -9510,     0
3496,     0, -9510,  -201
3506,     0, -5877,  -324
3516,     0,     0,  -324
3526,     0,  5877,  -201
3536,     0,  9510,     0
3546,     0,  9510,   200
3556,     0,  5877,   323
3566,     0,     0,   323
3576,     0, -5877,   200
3586,     0, -9510,     0
3596,     0, -9510,  -201
3606,     0, -5877,  -324
3616,     0,     0,  -324
3626,     0,  5877,  -201
3636,     0,  9510,     0
3646,     0,  9510,   200
3656,     0,  5877,   323
3666,     0,     0,   323
3676,     0, -5877,   200
3686,     0, -9510,     0
3696,     0, -9510,  -201
3706,     0, -5877,  -324
3716,     0,     0,  -324
3726,     0,  5877,  -201
3736,     0,  9510,     0
3746,     0,  9510,   200
3756,     0,  5877,   323
3766,     0,     0,   323
3776,     0, -5877,   200
3786,     0, -9510,     0
3796,     0, -9510,  -201
3806,     0, -5877,  -324
3816,     0,     0,  -324
3826,     0,  5877,  -201
3836,     0,  9510,     0
3846,     0,  9510,   200
3856,     0,  5877,   323
3866,     0,     0,   323
3876,     0, -5877,   200
3886,     0, -9510,     0
3896,     0, -9510,  -201
3906,     0, -5877,  -324
3916,     0,     0,  -324
3926,     0,  5877,  -201
3936,     0,  9510,     0
3946,     0,  9510,   200
3956,     0,  5877,   323
3966,     0,     0,   323
3976,     0, -5877,   200
3986,     0, -9510,     0
3996,     0, -9510,  -201
